row_type,fold,n_train,n_test,n_train_blocks,n_test_blocks,R2,RMSE,MAE,RPIQ,Observed_Q25,Observed_Q75,Observed_IQR
FOLD,1.0,346.0,39.0,170.0,19.0,-0.33149400642949955,32.056634495980305,20.58716322588792,0.8874917921769813,11.399999999999999,39.85,28.450000000000003
FOLD,2.0,346.0,39.0,170.0,19.0,-0.11082804108009614,22.875692373580872,16.77346792658533,1.1649920607770576,10.35,37.0,26.65
FOLD,3.0,346.0,39.0,170.0,19.0,0.035595862313058224,20.62441773959733,13.609559329559328,0.6739584203297553,9.5,23.4,13.899999999999999
FOLD,4.0,346.0,39.0,170.0,19.0,0.43449522531268914,16.930142352646374,12.878900415823493,1.7690341508155407,12.3,42.25,29.95
FOLD,5.0,346.0,39.0,170.0,19.0,-0.7652899122957746,25.294167639677767,20.566361025851975,1.0199979840225601,12.45,38.25,25.8
FOLD,6.0,347.0,38.0,171.0,18.0,-0.31348759646194035,23.271000727115275,15.235470025134763,0.6402818759160013,10.675,25.575,14.899999999999999
FOLD,7.0,347.0,38.0,170.0,19.0,0.4434149037941393,19.47648303586382,12.21936147186147,0.9383110886266575,9.799999999999999,28.075000000000003,18.275000000000006
FOLD,8.0,347.0,38.0,170.0,19.0,0.2825734515111118,17.20201563243422,13.59899118068215,1.600103184890839,9.825,37.349999999999994,27.524999999999995
FOLD,9.0,347.0,38.0,170.0,19.0,0.0566486108778379,20.06925202882868,14.05925295636596,0.7200069030596234,10.725,25.175,14.450000000000001
FOLD,10.0,347.0,38.0,170.0,19.0,0.12081990114566543,29.86529041027517,19.600796338164756,1.121703473825063,9.75,43.25,33.5
FOLD_MEAN,,346.5,38.5,170.1,18.9,-0.014755160131280887,22.76650964359998,15.912932389591713,1.0535880934440078,10.677499999999998,34.0175,23.339999999999996
FOLD_STD,,0.5270462766947299,0.5270462766947299,0.31622776601683794,0.3162277660168379,0.3783386664450449,5.066989062260421,3.2531428241335774,0.3794461678243414,1.0619328551697085,7.619101087982025,7.246341989046764
OOF_OVERALL,,,385.0,,189.0,0.030900960417885814,23.279368213638275,15.925531844074182,1.056729709081539,10.1,34.7,24.6
