row_type,fold,n_train,n_test,n_train_blocks,n_test_blocks,R2,RMSE,MAE,RPIQ,Observed_Q25,Observed_Q75,Observed_IQR
FOLD,1.0,346.0,39.0,170.0,19.0,-0.11205152702411914,29.296164999138686,20.79655238149165,0.9711168680554755,11.399999999999999,39.85,28.450000000000003
FOLD,2.0,346.0,39.0,170.0,19.0,0.04200837992224671,21.24377463582243,14.734536071645806,1.254485158916217,10.35,37.0,26.65
FOLD,3.0,346.0,39.0,170.0,19.0,0.06098297533064123,20.351147275908364,13.294192806446025,0.6830081769618356,9.5,23.4,13.899999999999999
FOLD,4.0,346.0,39.0,170.0,19.0,0.19972797336840897,20.140084573981078,15.465607445673236,1.4870841227098086,12.3,42.25,29.95
FOLD,5.0,346.0,39.0,170.0,19.0,-0.689502582172351,24.74524754696273,18.79025345982508,1.0426244454025166,12.45,38.25,25.8
FOLD,6.0,347.0,38.0,171.0,18.0,0.015206590937748454,20.14998088047935,14.198486749477055,0.7394547959315751,10.675,25.575,14.899999999999999
FOLD,7.0,347.0,38.0,170.0,19.0,-0.2316538800829797,28.972708047202488,19.244027803337012,0.6307660288512306,9.799999999999999,28.075000000000003,18.275000000000006
FOLD,8.0,347.0,38.0,170.0,19.0,0.44637314251144844,15.111208271323123,11.22274782879659,1.821495641234381,9.825,37.349999999999994,27.524999999999995
FOLD,9.0,347.0,38.0,170.0,19.0,0.2474921449535269,17.924620065603023,11.48757416227699,0.8061537676733943,10.725,25.175,14.450000000000001
FOLD,10.0,347.0,38.0,170.0,19.0,-0.0005280440175203793,31.85975639663682,21.450320176039988,1.0514832437179693,9.75,43.25,33.5
FOLD_MEAN,,346.5,38.5,170.1,18.9,-0.002194482627294958,22.97946926930581,16.068429888500944,1.0487672249454403,10.677499999999998,34.0175,23.339999999999996
FOLD_STD,,0.5270462766947299,0.5270462766947299,0.31622776601683794,0.3162277660168379,0.3069007208574964,5.489858147718464,3.750751794226359,0.3801557596706672,1.0619328551697085,7.619101087982025,7.246341989046764
OOF_OVERALL,,,385.0,,189.0,0.007362668495500491,23.560386479155653,16.07554415531283,1.0441254867259548,10.1,34.7,24.6
