row_type,fold,n_train,n_test,n_train_blocks,n_test_blocks,R2,RMSE,MAE,RPIQ,Observed_Q25,Observed_Q75,Observed_IQR
FOLD,1.0,346.0,39.0,170.0,19.0,0.01296721564018155,27.600319316279425,16.530943903651114,1.0307851758519118,11.399999999999999,39.85,28.450000000000003
FOLD,2.0,346.0,39.0,170.0,19.0,0.18032953840325439,19.650358265996505,14.309200560858116,1.3562093697861914,10.35,37.0,26.65
FOLD,3.0,346.0,39.0,170.0,19.0,0.19145344674575926,18.88446471338548,12.343824140950186,0.7360547524626182,9.5,23.4,13.899999999999999
FOLD,4.0,346.0,39.0,170.0,19.0,0.5539769591694006,15.035612304360798,11.20798548116194,1.9919375010297093,12.3,42.25,29.95
FOLD,5.0,346.0,39.0,170.0,19.0,0.032684008623909966,18.72391050112615,14.009463277928306,1.3779172891500555,12.45,38.25,25.8
FOLD,6.0,347.0,38.0,171.0,18.0,0.5103583105366591,14.208272100047886,9.850583999647412,1.0486848713961343,10.675,25.575,14.899999999999999
FOLD,7.0,347.0,38.0,170.0,19.0,0.34150568329549513,21.184624279859662,13.727270621684257,0.8626539587664128,9.799999999999999,28.075000000000003,18.275000000000006
FOLD,8.0,347.0,38.0,170.0,19.0,0.4752474142848857,14.711871053008176,10.512246486600429,1.8709380948775978,9.825,37.349999999999994,27.524999999999995
FOLD,9.0,347.0,38.0,170.0,19.0,0.5063544213609696,14.517842013167316,9.72941744779781,0.9953269905330432,10.725,25.175,14.450000000000001
FOLD,10.0,347.0,38.0,170.0,19.0,0.266740206448528,27.27449724250564,18.029404561893415,1.2282536210343886,9.75,43.25,33.5
FOLD_MEAN,,346.5,38.5,170.1,18.9,0.30716172045090434,19.179177178973706,13.025034048217298,1.2498761624888064,10.677499999999998,34.0175,23.339999999999996
FOLD_STD,,0.5270462766947299,0.5270462766947299,0.31622776601683794,0.3162277660168379,0.20119470486437346,4.99501630994077,2.8178889763759547,0.4125488958019604,1.0619328551697085,7.619101087982025,7.246341989046764
OOF_OVERALL,,,385.0,,189.0,0.301454621817711,19.764435731017148,13.033543781005514,1.2446598696159183,10.1,34.7,24.6
