row_type,fold,n_train,n_test,n_train_blocks,n_test_blocks,R2,RMSE,MAE,RPIQ,Observed_Q25,Observed_Q75,Observed_IQR
FOLD,1.0,346.0,39.0,170.0,19.0,0.06964205093659326,26.796208840676943,17.903701451187672,1.0617173559571824,11.399999999999999,39.85,28.450000000000003
FOLD,2.0,346.0,39.0,170.0,19.0,0.23603466846641064,18.970887819780806,13.321927609311746,1.404784017130302,10.35,37.0,26.65
FOLD,3.0,346.0,39.0,170.0,19.0,0.23652876364500763,18.350525430855157,12.135661200776598,0.7574714986976938,9.5,23.4,13.899999999999999
FOLD,4.0,346.0,39.0,170.0,19.0,0.5630875999038527,14.881258371160875,11.586181324566898,2.0125986158564104,12.3,42.25,29.95
FOLD,5.0,346.0,39.0,170.0,19.0,0.19061296294166696,17.127362715547108,13.287630286579187,1.5063615121889393,12.45,38.25,25.8
FOLD,6.0,347.0,38.0,171.0,18.0,0.4390750158729325,15.207382301297155,10.60127713982125,0.9797872970372463,10.675,25.575,14.899999999999999
FOLD,7.0,347.0,38.0,170.0,19.0,0.24048883128406828,22.751594187703013,14.860524654087502,0.8032404168793342,9.799999999999999,28.075000000000003,18.275000000000006
FOLD,8.0,347.0,38.0,170.0,19.0,0.5222031773411693,14.038226484850343,10.79060634726163,1.9607177608727282,9.825,37.349999999999994,27.524999999999995
FOLD,9.0,347.0,38.0,170.0,19.0,0.5676266371962388,13.587010326366196,9.454689115317732,1.0635157884556203,10.725,25.175,14.450000000000001
FOLD,10.0,347.0,38.0,170.0,19.0,0.36514096733955126,25.378530375883436,18.489868896049895,1.3200133933615867,9.75,43.25,33.5
FOLD_MEAN,,346.5,38.5,170.1,18.9,0.3430440674927491,18.7088986854121,13.24320680249601,1.2870207656437043,10.677499999999998,34.0175,23.339999999999996
FOLD_STD,,0.5270462766947299,0.5270462766947299,0.31622776601683794,0.3162277660168379,0.1738334744777641,4.759676128214506,3.0403190482223468,0.4413328644923444,1.0619328551697085,7.619101087982025,7.246341989046764
OOF_OVERALL,,,385.0,,189.0,0.3372549970260563,19.251312287868316,13.248451134599756,1.2778349668922202,10.1,34.7,24.6
